# source_api_id	status	crystal_refs	notes
src/ast/mod.rs::enum::AssertionKind	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Assertion kinds are exposed directly through AST::Assertion::Kind on the Crystal AST node model.
src/ast/mod.rs::enum::Ast	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models the top-level AST as an Ast wrapper over concrete node classes instead of a single sum enum, with kind/empty helpers on the wrapper.
src/ast/mod.rs::enum::ClassAsciiKind	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ASCII class kinds are exposed through AST::ClassAscii::Kind with from_name support.
src/ast/mod.rs::enum::ClassPerlKind	partial	src/regex/syntax/ast.cr	Perl class kinds are exposed directly through AST::ClassPerl::Kind on the Crystal AST node model.
src/ast/mod.rs::enum::ClassSet	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models class-set expressions as AST::ClassSet with an inner Kind enum instead of a top-level enum.
src/ast/mod.rs::enum::ClassSetBinaryOpKind	partial	src/regex/syntax/ast.cr	Character class binary operation kinds are exposed through AST::ClassSetBinaryOp::Kind.
src/ast/mod.rs::enum::ClassSetItem	partial	src/regex/syntax/ast.cr	Character class set item kinds are exposed through AST::ClassSetItem::Kind on the Crystal node model.
src/ast/mod.rs::enum::ClassUnicodeKind	partial	src/regex/syntax/ast.cr	Crystal models Unicode class queries directly on ClassUnicode nodes with a normalized name string instead of separate Rust query-kind enums.
src/ast/mod.rs::enum::ClassUnicodeOpKind	partial	src/regex/syntax/ast.cr	Crystal models Unicode class query operators through the normalized ClassUnicode query string instead of a separate Rust operator enum.
src/ast/mod.rs::enum::ErrorKind	partial	src/regex/syntax/error.cr;spec/error_spec.cr	Structured AST::ErrorKind now exists with Rust-backed parser error variants including DecimalInvalid, GroupNameUnexpectedEof, and SpecialWordOrRepetitionUnexpectedEof plus formatter coverage.
src/ast/mod.rs::enum::Flag	partial	src/regex/syntax/ast.cr	Rust's dedicated flag enum is intentionally modeled as raw Char values on FlagsItem in Crystal.
src/ast/mod.rs::enum::FlagsItemKind	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Flag item kinds are exposed through AST::FlagsItem::Kind with negation helper coverage.
src/ast/mod.rs::enum::GroupKind	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Group kinds are exposed through AST::Group::Kind with capturing helper coverage.
src/ast/mod.rs::enum::HexLiteralKind	partial	src/regex/syntax/ast.cr	Crystal folds Rust's dedicated hex-literal kind surface into AST::Literal::Kind::Hex and ::Unicode instead of a separate enum.
src/ast/mod.rs::enum::LiteralKind	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Literal kinds are exposed directly through AST::Literal::Kind, including byte helper coverage.
src/ast/mod.rs::enum::RepetitionKind	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Repetition operator kinds are exposed through AST::RepetitionOp::Kind on the Crystal AST node model.
src/ast/mod.rs::enum::RepetitionRange	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models repetition ranges through AST::RepetitionOp min/max fields plus valid? instead of a separate range enum.
src/ast/mod.rs::enum::SpecialLiteralKind	partial	src/regex/syntax/ast.cr	Crystal folds Rust's dedicated special-literal kind surface into AST::Literal::Kind plus the stored literal char/bytes instead of a separate enum.
src/ast/mod.rs::func::add_item	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Flags exposes add_item on the public Crystal AST API.
src/ast/mod.rs::func::alternation	partial	src/regex/syntax/ast.cr	Alternation is represented directly by the Alternation node constructor and into_ast helper instead of a top-level enum constructor function.
src/ast/mod.rs::func::assertion	partial	src/regex/syntax/ast.cr	Assertion is represented directly by the Assertion node constructor instead of a top-level enum constructor function.
src/ast/mod.rs::func::auxiliary_span	partial	src/regex/syntax/error.cr	Primary and auxiliary span reporting are modeled on the structured error layer instead of a standalone AST helper function.
src/ast/mod.rs::func::byte	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Literal exposes byte for singleton byte literals on the public Crystal AST API.
src/ast/mod.rs::func::capture_index	partial	src/regex/syntax/ast.cr	Capture index metadata is stored directly on Group nodes instead of being exposed through a separate AST helper function.
src/ast/mod.rs::func::class_bracketed	partial	src/regex/syntax/ast.cr	ClassBracketed is represented directly by the ClassBracketed node constructor instead of a top-level enum constructor function.
src/ast/mod.rs::func::class_perl	partial	src/regex/syntax/ast.cr	ClassPerl is represented directly by the ClassPerl node constructor instead of a top-level enum constructor function.
src/ast/mod.rs::func::class_unicode	partial	src/regex/syntax/ast.cr	ClassUnicode is represented directly by the ClassUnicode node constructor instead of a top-level enum constructor function.
src/ast/mod.rs::func::concat	partial	src/regex/syntax/ast.cr	Concat is represented directly by the Concat node constructor and into_ast helper instead of a top-level enum constructor function.
src/ast/mod.rs::func::digits	partial	src/regex/syntax/ast.cr	Hex/octal digit payload is represented by the parsed literal payload on Literal nodes instead of a dedicated AST helper function.
src/ast/mod.rs::func::dot	partial	src/regex/syntax/ast.cr	Dot is represented directly by the Dot node constructor instead of a top-level enum constructor function.
src/ast/mod.rs::func::empty	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.empty exists as a public Crystal helper.
src/ast/mod.rs::func::flag_state	partial	src/regex/syntax/ast.cr	Flags exposes flag_state on the public Crystal AST API.
src/ast/mod.rs::func::flags	partial	src/regex/syntax/ast.cr	Group exposes flags directly on the Crystal AST node model.
src/ast/mod.rs::func::from_name	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassAscii::Kind exposes from_name on the public Crystal AST API.
src/ast/mod.rs::func::group	partial	src/regex/syntax/ast.cr	Group is represented directly by the Group node constructor instead of a top-level enum constructor function.
src/ast/mod.rs::func::into_ast	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Alternation and Concat expose into_ast on the Crystal AST node model.
src/ast/mod.rs::func::into_item	partial	src/regex/syntax/ast.cr	Crystal models class-set wrappers directly through ClassSetItem and ClassSet constructors instead of a separate into_item helper.
src/ast/mod.rs::func::is_capturing	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Group exposes capturing? on the public Crystal AST API.
src/ast/mod.rs::func::is_empty	partial	src/regex/syntax/ast.cr	Crystal exposes emptiness through concrete node helpers such as Ast.empty and ClassSetUnion#empty? instead of a single shared AST helper.
src/ast/mod.rs::func::is_equal	partial	src/regex/syntax/ast.cr	Rust's equality helpers are covered by Crystal value/reference equality on the concrete AST node model instead of dedicated AST helper methods.
src/ast/mod.rs::func::is_negated	partial	src/regex/syntax/ast.cr	Negation state is exposed directly on ClassAscii, ClassUnicode, ClassBracketed, and ClassPerl kinds instead of a single shared AST helper.
src/ast/mod.rs::func::is_negation	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	FlagsItem exposes negation? on the public Crystal AST API.
src/ast/mod.rs::func::is_one_line	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span exposes one_line? on the public Crystal AST API.
src/ast/mod.rs::func::is_valid	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetRange and RepetitionOp expose valid? on the public Crystal AST API.
src/ast/mod.rs::func::kind	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast exposes kind on the public Crystal AST wrapper.
src/ast/mod.rs::func::literal	partial	src/regex/syntax/ast.cr	Literal is represented directly by the Literal node constructor instead of a top-level enum constructor function.
src/ast/mod.rs::func::new	partial	src/regex/syntax/ast.cr	Crystal exposes direct initializers on the concrete AST node classes instead of Rust-style free constructor helpers.
src/ast/mod.rs::func::pattern	partial	src/regex/syntax/ast.cr	Crystal models the parsed pattern as AST::Ast over a root node instead of a separate Rust Pattern helper surface.
src/ast/mod.rs::func::push	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetUnion exposes push on the public Crystal AST API.
src/ast/mod.rs::func::repetition	partial	src/regex/syntax/ast.cr	Repetition is represented directly by the Repetition node constructor instead of a top-level enum constructor function.
src/ast/mod.rs::func::span	partial	src/regex/syntax/ast.cr	Span access is exposed directly on Node and value types instead of a standalone AST helper function.
src/ast/mod.rs::func::splat	partial	src/regex/syntax/ast.cr	Crystal uses Span.new(start, end) or Span.new(offset, offset) directly instead of Rust's Span::splat helper.
src/ast/mod.rs::func::union	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSet exposes union on the public Crystal AST API.
src/ast/mod.rs::func::with_end	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span exposes with_end on the public Crystal AST API.
src/ast/mod.rs::func::with_start	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span exposes with_start on the public Crystal AST API.
src/ast/mod.rs::method::Alternation.into_ast	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Alternation.into_ast now exists with direct API coverage.
src/ast/mod.rs::method::Ast.empty	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.empty now exists with direct API coverage.
src/ast/mod.rs::method::ClassAsciiKind.from_name	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassAscii::Kind.from_name now exists with direct API coverage.
src/ast/mod.rs::method::ClassSet.union	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSet.union now exists with direct API coverage.
src/ast/mod.rs::method::ClassSetItem.span	partial	src/regex/syntax/ast.cr	ClassSetItem inherits a direct span getter through the Crystal AST node model.
src/ast/mod.rs::method::ClassSetRange.is_valid	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetRange.valid? now exists with direct API coverage.
src/ast/mod.rs::method::ClassSetUnion.push	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetUnion.push now exists with direct API coverage.
src/ast/mod.rs::method::ClassUnicode.is_negated	partial	src/regex/syntax/ast.cr	ClassUnicode exposes negated? directly on the Crystal AST node model.
src/ast/mod.rs::method::ClassUnicodeOpKind.is_equal	partial	src/regex/syntax/ast.cr	Rust's dedicated Unicode class operator equality helper is not separate in Crystal because the query/operator surface is collapsed into direct node state.
src/ast/mod.rs::method::Concat.into_ast	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Concat.into_ast now exists with direct API coverage.
src/ast/mod.rs::method::Error.kind	partial	src/regex/syntax/error.cr;spec/error_spec.cr	Structured AST::Error exposes kind directly with parser error coverage.
src/ast/mod.rs::method::Flags.add_item	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Flags.add_item now exists with direct API coverage.
src/ast/mod.rs::method::FlagsItemKind.is_negation	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	FlagsItem::Kind negation behavior is exposed through FlagsItem#negation? on the public Crystal AST API.
src/ast/mod.rs::method::Group.flags	partial	src/regex/syntax/ast.cr	Group exposes flags directly on the Crystal AST node model.
src/ast/mod.rs::method::HexLiteralKind.digits	partial	src/regex/syntax/ast.cr	Hex digit payload is represented on Literal node content instead of through a dedicated HexLiteralKind.digits helper.
src/ast/mod.rs::method::Literal.byte	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Literal.byte now exists with direct API coverage.
src/ast/mod.rs::method::Position.new	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Position.new now exists with direct API coverage.
src/ast/mod.rs::method::RepetitionRange.is_valid	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models repetition ranges through RepetitionOp.valid? instead of a separate range type.
src/ast/mod.rs::method::Span.new	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span.new overloads now exist with direct API coverage.
src/ast/mod.rs::struct::Alternation	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Alternation exists as a concrete Crystal AST node with into_ast coverage.
src/ast/mod.rs::struct::Assertion	partial	src/regex/syntax/ast.cr	Assertion exists as a concrete Crystal AST node.
src/ast/mod.rs::struct::CaptureName	partial	src/regex/syntax/ast.cr	Capture names are stored directly as Group#name strings instead of a dedicated CaptureName wrapper struct.
src/ast/mod.rs::struct::ClassAscii	partial	src/regex/syntax/ast.cr	AST::ClassAscii exists as a concrete Crystal AST node.
src/ast/mod.rs::struct::ClassBracketed	partial	src/regex/syntax/ast.cr	AST::ClassBracketed exists as a concrete Crystal AST node.
src/ast/mod.rs::struct::ClassPerl	partial	src/regex/syntax/ast.cr	AST::ClassPerl exists as a concrete Crystal AST node.
src/ast/mod.rs::struct::ClassSetBinaryOp	partial	src/regex/syntax/ast.cr	AST::ClassSetBinaryOp exists as a concrete Crystal AST node.
src/ast/mod.rs::struct::ClassSetRange	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::ClassSetRange exists with direct API coverage for valid?.
src/ast/mod.rs::struct::ClassSetUnion	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::ClassSetUnion exists with direct API coverage for push.
src/ast/mod.rs::struct::ClassUnicode	partial	src/regex/syntax/ast.cr	AST::ClassUnicode exists as a concrete Crystal AST node.
src/ast/mod.rs::struct::Comment	partial	src/regex/syntax/ast.cr	AST::Comment exists as part of parse_with_comments support.
src/ast/mod.rs::struct::Concat	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Concat exists as a concrete Crystal AST node with into_ast coverage.
src/ast/mod.rs::struct::Error	partial	src/regex/syntax/error.cr;spec/error_spec.cr	Structured AST::Error exists as a dedicated Crystal parse error type.
src/ast/mod.rs::struct::Flags	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Flags exists with flag_state and add_item on the public Crystal AST API.
src/ast/mod.rs::struct::FlagsItem	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	FlagsItem exists with negation helper coverage on the public Crystal AST API.
src/ast/mod.rs::struct::Group	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Group exists with capturing and flags access on the public Crystal AST API.
src/ast/mod.rs::struct::Literal	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Literal exists with direct byte helper coverage on the public Crystal AST API.
src/ast/mod.rs::struct::Position	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Position exists as a concrete Crystal AST value object.
src/ast/mod.rs::struct::Repetition	partial	src/regex/syntax/ast.cr	Repetition exists as a concrete Crystal AST node.
src/ast/mod.rs::struct::RepetitionOp	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	RepetitionOp exists with direct valid? coverage on the public Crystal AST API.
src/ast/mod.rs::struct::SetFlags	partial	src/regex/syntax/ast.cr	SetFlags exists as a concrete Crystal AST node.
src/ast/mod.rs::struct::Span	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span exists as a concrete Crystal AST value object with constructor and replacement helper coverage.
src/ast/mod.rs::struct::WithComments	partial	src/regex/syntax/ast.cr	WithComments exists as part of parse_with_comments support.
src/ast/parse.rs::func::build	partial	src/regex/syntax/parser.cr;spec/ast_parser_builder_spec.cr	Crystal now exposes AstParserBuilder.build over the direct AST parser surface.
src/ast/parse.rs::func::empty_min_range	partial	src/regex-syntax.cr;src/regex/syntax/parser.cr;spec/ast_parser_builder_spec.cr	Crystal now supports the vendored empty_min_range option on the direct AST parser surface.
src/ast/parse.rs::func::ignore_whitespace	partial	src/regex/syntax/parser.cr;spec/ast_parser_builder_spec.cr	Crystal now exposes AstParserBuilder.ignore_whitespace over the direct AST parser surface.
src/ast/parse.rs::func::nest_limit	partial	src/regex/syntax/parser.cr;spec/ast_parser_builder_spec.cr	Crystal now exposes AstParserBuilder.nest_limit over the direct AST parser surface.
src/ast/parse.rs::func::new	partial	src/regex-syntax.cr;src/regex/syntax/parser.cr;spec/ast_parser_builder_spec.cr	Crystal now exposes AstParser.new and AstParserBuilder.new over the direct AST parser surface.
src/ast/parse.rs::func::octal	partial	src/regex/syntax/parser.cr;spec/ast_parser_builder_spec.cr	Crystal now exposes AstParserBuilder.octal over the direct AST parser surface.
src/ast/parse.rs::func::parse	partial	src/regex-syntax.cr;spec/ast_parser_builder_spec.cr	AstParser.parse now exists with direct AST parser builder coverage.
src/ast/parse.rs::func::parse_with_comments	partial	src/regex-syntax.cr;spec/ast_parser_builder_spec.cr	AstParser.parse_with_comments now exists with direct AST parser builder coverage.
src/ast/parse.rs::method::Parser.new	partial	src/regex-syntax.cr;spec/ast_parser_builder_spec.cr	Crystal maps the vendored AST parser constructor surface to AstParser.new instead of a nested ast::parse::Parser type.
src/ast/parse.rs::method::ParserBuilder.new	partial	src/regex/syntax/parser.cr;spec/ast_parser_builder_spec.cr	Crystal now exposes AstParserBuilder.new over the direct AST parser surface.
src/ast/parse.rs::struct::Parser	partial	src/regex-syntax.cr;spec/ast_parser_builder_spec.cr	Crystal maps the vendored AST parser type to Regex::Syntax::AstParser instead of a nested ast::parse::Parser type.
src/ast/parse.rs::struct::ParserBuilder	partial	src/regex/syntax/parser.cr;spec/ast_parser_builder_spec.cr	Crystal now defines a dedicated AstParserBuilder over the direct AST parser surface.
src/ast/print.rs::func::new	partial	src/regex/syntax/ast_print.cr;spec/ast_print_spec.cr	Dedicated Crystal AST printer module added with constructor-based public print surface and parser-backed print specs for the preserved AST forms
src/ast/print.rs::method::Printer.new	partial	src/regex/syntax/ast_print.cr;spec/ast_print_spec.cr	Printer.new and print(Ast, IO) now exist through a dedicated Crystal printer module over the current AST node model
src/ast/print.rs::struct::Printer	partial	src/regex/syntax/ast_print.cr;spec/ast_print_spec.cr	Crystal AST printer type now exists as a dedicated module instead of relying on ad hoc node rendering
src/ast/visitor.rs::trait::Visitor	partial	src/regex/syntax/ast_visitor.cr;spec/ast_visitor_spec.cr	Dedicated Crystal AST visitor mixin and iterative AST.visit traversal now exist with hook-order coverage for expression and class-set walks plus explicit failure-propagation coverage via raising visitors.
src/either.rs::enum::Either	not_applicable	-	Rust's internal Either helper is not needed in the Crystal port because the corresponding surfaces are modeled with direct unions, overloads, and concrete node classes instead of a shared sum helper enum.
src/error.rs::enum::Error	partial	src/regex/syntax/error.cr;spec/error_spec.cr	Crystal now has a dedicated structured error layer with AST and HIR error subclasses over the shared ParseError base instead of a single enum wrapper
src/error.rs::struct::Formatter	partial	src/regex/syntax/error.cr;spec/error_spec.cr	Dedicated shared formatter now renders parser and translator errors with caret notation for single-line and multiline patterns
src/hir/interval.rs::func::case_fold_simple	partial	src/regex/syntax/hir_interval.cr;spec/hir_interval_spec.cr	Dedicated Crystal interval-set module now exposes in-place simple case folding over byte and Unicode interval domains by delegating to the verified interval algebra
src/hir/interval.rs::func::difference	partial	src/regex/syntax/hir_interval.cr;spec/hir_interval_spec.cr	IntervalSet#difference! now exists with direct byte interval behavior coverage
src/hir/interval.rs::func::intersect	partial	src/regex/syntax/hir_interval.cr;spec/hir_interval_spec.cr	IntervalSet#intersect! now exists with direct byte and Unicode interval behavior coverage
src/hir/interval.rs::func::intervals	partial	src/regex/syntax/hir_interval.cr;spec/hir_interval_spec.cr	IntervalSet#intervals now exposes canonicalized intervals directly
src/hir/interval.rs::func::iter	partial	src/regex/syntax/hir_interval.cr;spec/hir_interval_spec.cr	IntervalSet#iter and IntervalSetIter now exist with direct iteration coverage
src/hir/interval.rs::func::negate	partial	src/regex/syntax/hir_interval.cr;spec/hir_interval_spec.cr	IntervalSet#negate! now exists with byte-domain complement coverage
