# source_id	kind	status	crystal_refs	notes
src/ast/mod.rs::enum::AssertionKind	enum	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Assertion kinds are exposed directly through AST::Assertion::Kind on the Crystal AST node model.
src/ast/mod.rs::enum::Ast	enum	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models the top-level AST as an Ast wrapper over concrete node classes instead of a single sum enum, with kind/empty helpers on the wrapper.
src/ast/mod.rs::enum::ClassAsciiKind	enum	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ASCII class kinds are exposed through AST::ClassAscii::Kind with from_name support.
src/ast/mod.rs::enum::ClassPerlKind	enum	partial	src/regex/syntax/ast.cr	Perl class kinds are exposed directly through AST::ClassPerl::Kind on the Crystal AST node model.
src/ast/mod.rs::enum::ClassSet	enum	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models class-set expressions as AST::ClassSet with an inner Kind enum instead of a top-level enum.
src/ast/mod.rs::enum::ClassSetBinaryOpKind	enum	partial	src/regex/syntax/ast.cr	Character class binary operation kinds are exposed through AST::ClassSetBinaryOp::Kind.
src/ast/mod.rs::enum::ClassSetItem	enum	partial	src/regex/syntax/ast.cr	Character class set item kinds are exposed through AST::ClassSetItem::Kind on the Crystal node model.
src/ast/mod.rs::enum::ClassUnicodeKind	enum	partial	src/regex/syntax/ast.cr	Crystal models Unicode class queries directly on ClassUnicode nodes with a normalized name string instead of separate Rust query-kind enums.
src/ast/mod.rs::enum::ClassUnicodeOpKind	enum	partial	src/regex/syntax/ast.cr	Crystal models Unicode class query operators through the normalized ClassUnicode query string instead of a separate Rust operator enum.
src/ast/mod.rs::enum::ErrorKind	enum	partial	src/regex/syntax/error.cr;spec/error_spec.cr	Structured AST::ErrorKind now exists with Rust-backed parser error variants including DecimalInvalid, GroupNameUnexpectedEof, and SpecialWordOrRepetitionUnexpectedEof plus formatter coverage.
src/ast/mod.rs::enum::Flag	enum	partial	src/regex/syntax/ast.cr	Rust's dedicated flag enum is intentionally modeled as raw Char values on FlagsItem in Crystal.
src/ast/mod.rs::enum::FlagsItemKind	enum	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Flag item kinds are exposed through AST::FlagsItem::Kind with negation helper coverage.
src/ast/mod.rs::enum::GroupKind	enum	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Group kinds are exposed through AST::Group::Kind with capturing helper coverage.
src/ast/mod.rs::enum::HexLiteralKind	enum	partial	src/regex/syntax/ast.cr	Crystal folds Rust's dedicated hex-literal kind surface into AST::Literal::Kind::Hex and ::Unicode instead of a separate enum.
